Image,Coverage
image_0_area.jpg,54.743778228759766
image_1_area.jpg,32.990997314453125
image_2_area.jpg,27.308528900146484
image_3_area.jpg,28.581228256225586
image_4_area.jpg,42.12446594238281
image_5_area.jpg,52.224815368652344
image_6_area.jpg,42.86668014526367
image_7_area.jpg,40.73661422729492
image_8_area.jpg,47.33696365356445
image_9_area.jpg,22.64260482788086
image_10_area.jpg,45.24140548706055
image_11_area.jpg,40.24522018432617
image_12_area.jpg,55.157440185546875
image_13_area.jpg,46.07405471801758
image_14_area.jpg,42.9482536315918
image_15_area.jpg,35.02178955078125
image_16_area.jpg,26.523197174072266
image_17_area.jpg,46.4831428527832
image_18_area.jpg,45.250694274902344
image_19_area.jpg,20.920625686645508
image_20_area.jpg,45.334228515625
image_21_area.jpg,59.86125564575195
image_22_area.jpg,43.64495086669922
image_23_area.jpg,56.205718994140625
image_24_area.jpg,38.242279052734375
image_25_area.jpg,40.9006462097168
image_26_area.jpg,53.405975341796875
image_27_area.jpg,40.0300407409668
image_28_area.jpg,54.29195022583008
image_29_area.jpg,42.96772003173828
image_30_area.jpg,25.62546730041504
image_31_area.jpg,48.703975677490234
